"id","category","type","declared_learn_sources","special_system","mechanism_hints"
"circlethrow","Physical","Fighting","implemented:egg;implemented:level","","settlement;switch;timing"
"clamp","Physical","Water","implemented:egg;implemented:level","","settlement;state"
"clangingscales","Special","Dragon","implemented:level","","settlement"
"clangoroussoul","Status","Dragon","implemented:level","","custom-callback-review;state"
"clangoroussoulblaze","Special","Dragon","","Z","settlement;special-system;state"
"clearsmog","Special","Poison","data-only:egg;data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"closecombat","Physical","Fighting","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"coaching","Status","Fighting","data-only:legacy;data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","state"
"coil","Status","Poison","data-only:level;implemented:egg;implemented:level","","state"
"collisioncourse","Physical","Fighting","data-only:level","","custom-callback-review;settlement"
"combattorque","Physical","Fighting","","","settlement;state"
"cometpunch","Physical","Normal","data-only:level;implemented:egg;implemented:level","","settlement;timing"
"comeuppance","Physical","Dark","implemented:egg;implemented:level","","custom-callback-review;settlement"
"confide","Status","Normal","data-only:legacy;implemented:legacy;implemented:level;implemented:tm","","state"
"confuseray","Status","Ghost","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","state"
"confusion","Special","Psychic","data-only:level;implemented:egg;implemented:legacy;implemented:level","","settlement;state"
"constrict","Physical","Normal","data-only:level;implemented:egg;implemented:level","","settlement;state"
"continentalcrush","Physical","Rock","","Z","settlement;special-system"
"conversion","Status","Normal","implemented:level","","custom-callback-review"
"conversion2","Status","Normal","implemented:level","","custom-callback-review"
"copycat","Status","Normal","data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"coreenforcer","Special","Dragon","data-only:form_change;data-only:level","","custom-callback-review;settlement"
"corkscrewcrash","Physical","Steel","","Z","settlement;special-system"
"corrosivegas","Status","Poison","data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","custom-callback-review"
"cosmicpower","Status","Psychic","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","state"
"cottonguard","Status","Grass","implemented:egg;implemented:level;implemented:special","","state"
"cottonspore","Status","Grass","implemented:egg;implemented:level","","state"
"counter","Physical","Fighting","data-only:egg;data-only:legacy;data-only:level;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;settlement;timing"
"courtchange","Status","Normal","implemented:level","","custom-callback-review"
"covet","Physical","Normal","data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"crabhammer","Physical","Water","implemented:egg;implemented:level","","settlement"
"craftyshield","Status","Fairy","data-only:level;implemented:egg;implemented:level","","custom-callback-review;field;timing"
"crosschop","Physical","Fighting","implemented:egg;implemented:level;implemented:tm","","settlement"
"crosspoison","Physical","Poison","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"crunch","Physical","Dark","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"crushclaw","Physical","Normal","data-only:level;data-only:special;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"crushgrip","Physical","Normal","implemented:level","","custom-callback-review;settlement"
"curse","Status","Ghost","data-only:egg;data-only:legacy;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;state"
"cut","Physical","Normal","data-only:level;data-only:tm;implemented:level;implemented:tm","","settlement"
"darkestlariat","Physical","Dark","data-only:tm;implemented:level;implemented:tm","","settlement"
"darkpulse","Special","Dark","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"darkvoid","Status","Dark","data-only:level","","custom-callback-review;state"
"dazzlinggleam","Special","Fairy","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement"
"decorate","Status","Fairy","implemented:level","","state"
"defendorder","Status","Bug","implemented:level","","state"
"defensecurl","Status","Normal","data-only:legacy;data-only:level;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","state"
"defog","Status","Flying","data-only:egg;data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review"
"destinybond","Status","Ghost","data-only:egg;data-only:level;implemented:egg;implemented:level;implemented:tm","","custom-callback-review;state"
"detect","Status","Fighting","data-only:legacy;data-only:level;data-only:special;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;state;timing"
"devastatingdrake","Physical","Dragon","","Z","settlement;special-system"
"diamondstorm","Physical","Rock","data-only:level","","settlement;state"
"dig","Physical","Ground","data-only:legacy;data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;settlement;timing"
"direclaw","Physical","Poison","implemented:level","","settlement;state"
"disable","Status","Normal","data-only:egg;data-only:level;implemented:egg;implemented:level","","custom-callback-review;state"
"disarmingvoice","Special","Fairy","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:special;implemented:tm","","settlement"
"discharge","Special","Electric","data-only:egg;data-only:level;implemented:egg;implemented:level","","settlement;state"
"dive","Physical","Water","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement;timing"
"dizzypunch","Physical","Normal","implemented:egg;implemented:legacy;implemented:level","","settlement;state"
"doodle","Status","Normal","implemented:level","","custom-callback-review"
"doomdesire","Special","Steel","data-only:level","","custom-callback-review;settlement"
"doubleedge","Physical","Normal","data-only:egg;data-only:legacy;data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","health-operation;settlement"
"doublehit","Physical","Normal","data-only:level;implemented:egg;implemented:level","","settlement;timing"
"doubleironbash","Physical","Steel","data-only:level","","settlement;state;timing"
"doublekick","Physical","Fighting","data-only:level;implemented:egg;implemented:legacy;implemented:level","","settlement;timing"
"doubleshock","Physical","Electric","data-only:level","","custom-callback-review;settlement;state"
"doubleslap","Physical","Normal","data-only:level;implemented:egg;implemented:level","","settlement;timing"
"doubleteam","Status","Normal","data-only:legacy;data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","state"
"dracometeor","Special","Dragon","data-only:special;data-only:tm;data-only:tutor;implemented:legacy;implemented:tm;implemented:tutor","","settlement;state"
"dragonascent","Physical","Flying","implemented:level;implemented:tutor","","settlement;state"
"dragonbreath","Special","Dragon","data-only:level;implemented:egg;implemented:legacy;implemented:level","","settlement;state"
"dragoncheer","Status","Dragon","data-only:tm;implemented:tm","","state"
"dragonclaw","Physical","Dragon","data-only:level;data-only:tm;implemented:level;implemented:tm","","settlement"
"dragondance","Status","Dragon","data-only:form_change;data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","state"
"dragondarts","Physical","Dragon","implemented:level","","settlement;timing"
"dragonenergy","Special","Dragon","implemented:level","","custom-callback-review;settlement"
"dragonhammer","Physical","Dragon","data-only:level;implemented:egg;implemented:level","","settlement"
"dragonpulse","Special","Dragon","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement"
"dragonrage","Special","Dragon","data-only:level;implemented:egg;implemented:legacy;implemented:level","","health-operation;settlement"
"dragonrush","Physical","Dragon","data-only:egg;data-only:level;implemented:egg;implemented:level","","settlement;state"
"dragontail","Physical","Dragon","data-only:egg;data-only:legacy;data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","settlement;switch;timing"
"drainingkiss","Special","Fairy","data-only:level;data-only:tm;implemented:level;implemented:tm","","health-operation;settlement"
"drainpunch","Physical","Fighting","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","health-operation;settlement"
"dreameater","Special","Psychic","data-only:egg;data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;health-operation;settlement"
"drillpeck","Physical","Flying","data-only:level;implemented:egg;implemented:level","","settlement"
"drillrun","Physical","Ground","data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","settlement"
"drumbeating","Physical","Grass","implemented:level","","settlement;state"
"dualchop","Physical","Dragon","data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","settlement;timing"
"dualwingbeat","Physical","Flying","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;timing"
"dynamaxcannon","Special","Dragon","data-only:level","","settlement"
"dynamicpunch","Physical","Fighting","data-only:legacy;data-only:level;implemented:egg;implemented:legacy;implemented:level","","settlement;state"
"earthpower","Special","Ground","data-only:level;data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"earthquake","Physical","Ground","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","settlement"
"echoedvoice","Special","Normal","data-only:level;data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement"
"eerieimpulse","Status","Electric","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","state"
"eeriespell","Special","Psychic","implemented:level","","settlement;state"
"eggbomb","Physical","Normal","implemented:legacy;implemented:level","","settlement"
"electricterrain","Status","Electric","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","field"
"electrify","Status","Electric","data-only:level;implemented:level","","custom-callback-review;state"
"electroball","Special","Electric","data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement"
"electrodrift","Special","Electric","data-only:level","","custom-callback-review;settlement"
"electroshot","Special","Electric","implemented:level","","custom-callback-review;settlement;timing"
"electroweb","Special","Electric","data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"embargo","Status","Dark","data-only:tm;implemented:level;implemented:tm","","state"
"ember","Special","Fire","data-only:level;implemented:level","","settlement;state"
"encore","Status","Normal","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","state"
"endeavor","Physical","Normal","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:special;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"endure","Status","Normal","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;state;timing"
"energyball","Special","Grass","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"entrainment","Status","Normal","data-only:level;implemented:egg;implemented:level;implemented:tm","","custom-callback-review"
"eruption","Special","Fire","data-only:level;data-only:special;implemented:egg;implemented:level","","custom-callback-review;settlement"
"esperwing","Special","Psychic","implemented:level","","settlement;state"
"eternabeam","Special","Dragon","data-only:level","","settlement;state;timing"
"expandingforce","Special","Psychic","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"explosion","Physical","Normal","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement"
"extrasensory","Special","Psychic","data-only:egg;data-only:level;implemented:egg;implemented:level;implemented:special","","settlement;state"
"extremeevoboost","Status","Normal","","Z","special-system;state"
"extremespeed","Physical","Normal","data-only:form_change;data-only:legacy;data-only:level;data-only:special;data-only:tm;implemented:egg;implemented:level;implemented:special","","settlement;timing"
"facade","Physical","Normal","data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement"
"fairylock","Status","Fairy","implemented:level","","field"
"fairywind","Special","Fairy","data-only:level;implemented:egg;implemented:level","","settlement"
"fakeout","Physical","Normal","data-only:egg;data-only:level;implemented:egg;implemented:level;implemented:special","","custom-callback-review;settlement;state;timing"
"faketears","Status","Dark","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","state"
"falsesurrender","Physical","Dark","implemented:level","","settlement"
"falseswipe","Physical","Normal","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:special;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"featherdance","Status","Flying","data-only:egg;data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:special;implemented:tm","","state"
"feint","Physical","Normal","data-only:egg;data-only:level;implemented:egg;implemented:level","","settlement;timing"
"feintattack","Physical","Dark","data-only:egg;data-only:level;implemented:egg;implemented:level;implemented:special","","settlement"
"fellstinger","Physical","Bug","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"ficklebeam","Special","Dragon","implemented:level","","custom-callback-review;settlement"
"fierydance","Special","Fire","data-only:level;implemented:level","","settlement;state"
"fierywrath","Special","Dark","implemented:level","","settlement;state"
"filletaway","Status","Normal","implemented:level","","custom-callback-review;state"
"finalgambit","Special","Fighting","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"fireblast","Special","Fire","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"firefang","Physical","Fire","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"firelash","Physical","Fire","implemented:level","","settlement;state"
"firepledge","Special","Fire","data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"firepunch","Physical","Fire","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"firespin","Special","Fire","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"firstimpression","Physical","Bug","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement;timing"
"fishiousrend","Physical","Water","implemented:level","","custom-callback-review;settlement"
"fissure","Physical","Ground","data-only:level;implemented:egg;implemented:legacy;implemented:level","","health-operation;settlement"
"flail","Physical","Normal","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"flameburst","Special","Fire","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"flamecharge","Physical","Fire","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"flamethrower","Special","Fire","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:special;implemented:tm;implemented:tutor","","settlement;state"
"flamewheel","Physical","Fire","data-only:level;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"flareblitz","Physical","Fire","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","health-operation;settlement;state"
"flash","Status","Normal","data-only:tm;implemented:legacy;implemented:level;implemented:tm","","state"
"flashcannon","Special","Steel","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"flatter","Status","Dark","data-only:level;implemented:egg;implemented:level","","state"
"fleurcannon","Special","Fairy","data-only:level","","settlement;state"
"fling","Physical","Dark","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;settlement"
"flipturn","Physical","Water","data-only:level;data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","settlement;switch"
"floatyfall","Physical","Flying","","","settlement;state"
"floralhealing","Status","Fairy","implemented:level","","custom-callback-review"
"flowershield","Status","Fairy","implemented:egg;implemented:level","","custom-callback-review"
"flowertrick","Physical","Grass","implemented:level","","settlement"
"fly","Physical","Flying","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:special;implemented:tm","","custom-callback-review;settlement;timing"
"flyingpress","Physical","Fighting","implemented:level","","custom-callback-review;settlement"
"focusblast","Special","Fighting","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"focusenergy","Status","Normal","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","state"
"focuspunch","Physical","Fighting","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement;timing"
"followme","Status","Normal","data-only:level;data-only:special;implemented:egg;implemented:level;implemented:special","","custom-callback-review;state;timing"
"forcepalm","Physical","Fighting","data-only:level;implemented:egg;implemented:level","","settlement;state"
"foresight","Status","Normal","implemented:egg;implemented:legacy;implemented:level","","custom-callback-review;state"
"forestscurse","Status","Grass","implemented:level","","custom-callback-review"
"foulplay","Physical","Dark","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement"
"freezedry","Special","Ice","data-only:egg;data-only:level;implemented:egg;implemented:level;implemented:tm","","custom-callback-review;settlement;state"
"freezeshock","Physical","Ice","data-only:level","","custom-callback-review;settlement;state;timing"
"freezingglare","Special","Psychic","implemented:level","","settlement;state"
"freezyfrost","Special","Ice","","","custom-callback-review;settlement"
"frenzyplant","Special","Grass","implemented:special;implemented:tm;implemented:tutor","","settlement;state;timing"
