"id","declared_species_sources","callback_keys"
"powerconstruct","data-only-species","onResidual"
"powerofalchemy","implemented-species","onAllyFaint"
"powerspot","implemented-species","onAllyBasePower"
"prankster","data-only-species;implemented-species","onModifyPriority"
"pressure","data-only-species;implemented-species","onDeductPP;onStart"
"primordialsea","data-only-species","onAnySetWeather;onEnd;onStart"
"prismarmor","data-only-species","onSourceModifyDamage"
"propellertail","implemented-species","onModifyMove"
"protean","implemented-species","onPrepareHit;onSwitchIn"
"protosynthesis","data-only-species;implemented-species","onEnd;onStart;onWeatherChange"
"psychicsurge","data-only-species;implemented-species","onStart"
"punkrock","implemented-species","onBasePower;onSourceModifyDamage"
"purepower","implemented-species","onModifyAtk"
"purifyingsalt","implemented-species","onSetStatus;onSourceModifyAtk;onSourceModifySpA;onTryAddVolatile"
"quarkdrive","data-only-species;implemented-species","onEnd;onStart;onTerrainChange"
"queenlymajesty","implemented-species","onFoeTryMove"
"quickdraw","implemented-species","onFractionalPriority"
"quickfeet","implemented-species","onModifySpe"
"raindish","implemented-species","onWeather"
"rattled","implemented-species","onAfterBoost;onDamagingHit"
"rebound","","onAllyTryHitSide;onTryHit"
"receiver","data-only-species","onAllyFaint"
"reckless","implemented-species","onBasePower"
"refrigerate","implemented-species","onBasePower;onModifyType"
"regenerator","data-only-species;implemented-species","onSwitchOut"
"ripen","implemented-species","onChangeBoost;onEatItem;onSourceModifyDamage;onTryEatItem;onTryHeal"
"rivalry","implemented-species","onBasePower"
"rkssystem","data-only-species",""
"rockhead","implemented-species","onDamage"
"rockypayload","data-only-species","onModifyAtk;onModifySpA"
"roughskin","implemented-species","onDamagingHit"
"runaway","implemented-species",""
"sandforce","data-only-species;implemented-species","onBasePower;onImmunity"
"sandrush","data-only-species;implemented-species","onImmunity;onModifySpe"
"sandspit","implemented-species","onDamagingHit"
"sandstream","implemented-species","onStart"
"sandveil","data-only-species;implemented-species","onImmunity;onModifyAccuracy"
"sapsipper","implemented-species","onAllyTryHitSide;onTryHit"
"schooling","implemented-species","onResidual;onStart"
"scrappy","implemented-species","onModifyMove;onTryBoost"
"screencleaner","implemented-species","onStart"
"seedsower","implemented-species","onDamagingHit"
"serenegrace","data-only-species;implemented-species","onModifyMove"
"shadowshield","data-only-species","onSourceModifyDamage"
"shadowtag","implemented-species","onFoeMaybeTrapPokemon;onFoeTrapPokemon"
"sharpness","implemented-species","onBasePower"
"shedskin","data-only-species;implemented-species","onResidual"
"sheerforce","data-only-species;implemented-species","onBasePower;onModifyMove"
"shellarmor","implemented-species",""
"shielddust","implemented-species","onModifySecondaries"
"shieldsdown","data-only-species","onResidual;onSetStatus;onStart;onTryAddVolatile"
"simple","implemented-species","onChangeBoost"
"skilllink","implemented-species","onModifyMove"
"slowstart","implemented-species","onEnd;onStart"
"slushrush","implemented-species","onModifySpe"
"sniper","implemented-species","onModifyDamage"
"snowcloak","implemented-species","onImmunity;onModifyAccuracy"
"snowwarning","data-only-species;implemented-species","onStart"
"solarpower","data-only-species;implemented-species","onModifySpA;onWeather"
"solidrock","implemented-species","onSourceModifyDamage"
"soulheart","data-only-species","onAnyFaint"
"soundproof","data-only-species;implemented-species","onAllyTryHitSide;onTryHit"
"speedboost","implemented-species","onResidual"
"stakeout","implemented-species","onModifyAtk;onModifySpA"
"stall","implemented-species",""
"stalwart","implemented-species","onModifyMove"
"stamina","implemented-species","onDamagingHit"
"stancechange","implemented-species","onModifyMove"
"static","data-only-species;implemented-species","onDamagingHit"
"steadfast","implemented-species","onFlinch"
"steamengine","implemented-species","onDamagingHit"
"steelworker","implemented-species","onModifyAtk;onModifySpA"
"steelyspirit","implemented-species","onAllyBasePower"
"stench","implemented-species","onModifyMove"
"stickyhold","data-only-species;implemented-species","onTakeItem"
"stormdrain","implemented-species","onAnyRedirectTarget;onTryHit"
"strongjaw","implemented-species","onBasePower"
"sturdy","data-only-species;implemented-species","onDamage;onTryHit"
"suctioncups","implemented-species","onDragOut"
"superluck","implemented-species","onModifyCritRatio"
"supersweetsyrup","implemented-species","onStart"
"supremeoverlord","implemented-species","onBasePower;onEnd;onStart"
"surgesurfer","implemented-species","onModifySpe"
"swarm","data-only-species;implemented-species","onModifyAtk;onModifySpA"
"sweetveil","implemented-species","onAllySetStatus;onAllyTryAddVolatile"
"swiftswim","data-only-species;implemented-species","onModifySpe"
"swordofruin","data-only-species","onAnyModifyDef;onStart"
"symbiosis","data-only-species;implemented-species","onAllyAfterUseItem"
"synchronize","implemented-species","onAfterSetStatus"
"tabletsofruin","data-only-species","onAnyModifyAtk;onStart"
"tangledfeet","implemented-species","onModifyAccuracy"
"tanglinghair","implemented-species","onDamagingHit"
"technician","data-only-species;implemented-species","onBasePower"
"telepathy","data-only-species;implemented-species","onTryHit"
"teraformzero","data-only-species","onAfterTerastallization"
"terashell","data-only-species","onAnyAfterMove;onEffectiveness"
"terashift","data-only-species","onPreStart"
"teravolt","data-only-species","onModifyMove;onStart"
"thermalexchange","data-only-species","onDamagingHit;onSetStatus;onUpdate"
"thickfat","implemented-species","onSourceModifyAtk;onSourceModifySpA"
"tintedlens","data-only-species;implemented-species","onModifyDamage"
"torrent","implemented-species","onModifyAtk;onModifySpA"
"toughclaws","implemented-species","onBasePower"
"toxicboost","implemented-species","onBasePower"
"toxicchain","data-only-species","onSourceDamagingHit"
"toxicdebris","implemented-species","onDamagingHit"
"trace","implemented-species","onStart;onUpdate"
"transistor","implemented-species","onModifyAtk;onModifySpA"
"triage","implemented-species","onModifyPriority"
"truant","implemented-species","onBeforeMove;onStart"
"turboblaze","data-only-species","onModifyMove;onStart"
"unaware","data-only-species;implemented-species","onAnyModifyBoost"
"unburden","implemented-species","onAfterUseItem;onEnd;onTakeItem"
"unnerve","data-only-species;implemented-species","onEnd;onFoeTryEatItem;onPreStart;onStart"
"unseenfist","data-only-species","onModifyMove"
"vesselofruin","data-only-species","onAnyModifySpA;onStart"
"victorystar","data-only-species","onAnyModifyAccuracy"
"vitalspirit","implemented-species","onSetStatus;onTryAddVolatile;onUpdate"
"voltabsorb","data-only-species;implemented-species","onTryHit"
"wanderingspirit","implemented-species","onDamagingHit"
"waterabsorb","data-only-species;implemented-species","onTryHit"
"waterbubble","implemented-species","onModifyAtk;onModifySpA;onSetStatus;onSourceModifyAtk;onSourceModifySpA;onUpdate"
"watercompaction","implemented-species","onDamagingHit"
"waterveil","implemented-species","onSetStatus;onUpdate"
"weakarmor","data-only-species;implemented-species","onDamagingHit"
"wellbakedbody","implemented-species","onTryHit"
"whitesmoke","implemented-species","onTryBoost"
"wimpout","implemented-species","onEmergencyExit"
"windpower","implemented-species","onAllySideConditionStart;onDamagingHit"
"windrider","implemented-species","onAllySideConditionStart;onStart;onTryHit"
"wonderguard","implemented-species","onTryHit"
"wonderskin","implemented-species","onModifyAccuracy"
"zenmode","implemented-species","onEnd;onResidual"
"zerotohero","implemented-species","onStart;onSwitchIn;onSwitchOut"
