"showdown_id","native_name_candidate","callback_keys","dependency"
"chopleberry","cobblemon:chople_berry","onEat;onSourceModifyDamage",""
"clawfossil","cobblemon:claw_fossil","",""
"clearamulet","cobblemon:clear_amulet","onTryBoost",""
"cloversweet","cobblemon:clover_sweet","",""
"cobaberry","cobblemon:coba_berry","onEat;onSourceModifyDamage",""
"colburberry","cobblemon:colbur_berry","onEat;onSourceModifyDamage",""
"cornerstonemask","","onBasePower;onTakeItem",""
"cornnberry","cobblemon:cornn_berry","",""
"coverfossil","cobblemon:cover_fossil","",""
"covertcloak","cobblemon:covert_cloak","onModifySecondaries",""
"crackedpot","cobblemon:cracked_pot","",""
"custapberry","cobblemon:custap_berry","onEat;onFractionalPriority",""
"damprock","cobblemon:damp_rock","",""
"darkgem","cobblemon:dark_gem","onSourceTryPrimaryHit",""
"darkmemory","","onTakeItem",""
"darkiniumz","","","Z"
"dawnstone","cobblemon:dawn_stone","",""
"decidiumz","","","Z"
"deepseascale","cobblemon:deep_sea_scale","onModifySpD",""
"deepseatooth","cobblemon:deep_sea_tooth","onModifySpA",""
"destinyknot","cobblemon:destiny_knot","onAttract",""
"diancite","","onTakeItem","Mega"
"diveball","cobblemon:dive_ball","",""
"domefossil","cobblemon:dome_fossil","",""
"dousedrive","","onTakeItem",""
"dracoplate","","onBasePower;onTakeItem",""
"dragonfang","cobblemon:dragon_fang","onBasePower",""
"dragongem","cobblemon:dragon_gem","onSourceTryPrimaryHit",""
"dragonmemory","","onTakeItem",""
"dragonscale","cobblemon:dragon_scale","",""
"dragoniumz","","","Z"
"dreadplate","","onBasePower;onTakeItem",""
"dreamball","cobblemon:dream_ball","",""
"dubiousdisc","cobblemon:dubious_disc","",""
"durinberry","cobblemon:durin_berry","",""
"duskball","cobblemon:dusk_ball","",""
"duskstone","cobblemon:dusk_stone","",""
"earthplate","","onBasePower;onTakeItem",""
"eeviumz","","","Z"
"ejectbutton","cobblemon:eject_button","onAfterMoveSecondary",""
"ejectpack","cobblemon:eject_pack","onAfterBoost",""
"electirizer","cobblemon:electirizer","",""
"electricgem","cobblemon:electric_gem","onSourceTryPrimaryHit",""
"electricmemory","","onTakeItem",""
"electricseed","cobblemon:electric_seed","onStart;onTerrainChange",""
"electriumz","","","Z"
"enigmaberry","cobblemon:enigma_berry","onEat;onHit;onTryEatItem",""
"eviolite","cobblemon:eviolite","onModifyDef;onModifySpD",""
"expertbelt","cobblemon:expert_belt","onModifyDamage",""
"fairiumz","","","Z"
"fairyfeather","cobblemon:fairy_feather","onBasePower",""
"fairygem","cobblemon:fairy_gem","onSourceTryPrimaryHit",""
"fairymemory","","onTakeItem",""
"fastball","cobblemon:fast_ball","",""
"fightinggem","cobblemon:fighting_gem","onSourceTryPrimaryHit",""
"fightingmemory","","onTakeItem",""
"fightiniumz","","","Z"
"figyberry","cobblemon:figy_berry","onEat;onTryEatItem;onUpdate",""
"firegem","cobblemon:fire_gem","onSourceTryPrimaryHit",""
"firememory","","onTakeItem",""
"firestone","cobblemon:fire_stone","",""
"firiumz","","","Z"
"fistplate","","onBasePower;onTakeItem",""
"flameorb","cobblemon:flame_orb","onResidual",""
"flameplate","","onBasePower;onTakeItem",""
"floatstone","cobblemon:float_stone","onModifyWeight",""
"flowersweet","cobblemon:flower_sweet","",""
"flyinggem","cobblemon:flying_gem","onSourceTryPrimaryHit",""
"flyingmemory","","onTakeItem",""
"flyiniumz","","","Z"
"focusband","cobblemon:focus_band","onDamage",""
"focussash","cobblemon:focus_sash","onDamage",""
"fossilizedbird","cobblemon:fossilized_bird","",""
"fossilizeddino","cobblemon:fossilized_dino","",""
"fossilizeddrake","cobblemon:fossilized_drake","",""
"fossilizedfish","cobblemon:fossilized_fish","",""
"friendball","cobblemon:friend_ball","",""
"fullincense","","",""
"galaricacuff","cobblemon:galarica_cuff","",""
"galaricawreath","cobblemon:galarica_wreath","",""
"galladite","","onTakeItem","Mega"
"ganlonberry","cobblemon:ganlon_berry","onEat;onUpdate",""
"garchompite","","onTakeItem","Mega"
"gardevoirite","","onTakeItem","Mega"
"gengarite","","onTakeItem","Mega"
"ghostgem","cobblemon:ghost_gem","onSourceTryPrimaryHit",""
"ghostmemory","","onTakeItem",""
"ghostiumz","","","Z"
"glalitite","","onTakeItem","Mega"
"goldbottlecap","","",""
"grassgem","cobblemon:grass_gem","onSourceTryPrimaryHit",""
"grassmemory","","onTakeItem",""
"grassiumz","","","Z"
"grassyseed","cobblemon:grassy_seed","onStart;onTerrainChange",""
"greatball","cobblemon:great_ball","",""
"grepaberry","cobblemon:grepa_berry","",""
"gripclaw","cobblemon:grip_claw","",""
"griseouscore","","onBasePower;onTakeItem",""
"griseousorb","","onBasePower",""
"groundgem","cobblemon:ground_gem","onSourceTryPrimaryHit",""
"groundmemory","","onTakeItem",""
"groundiumz","","","Z"
"gyaradosite","","onTakeItem","Mega"
"habanberry","cobblemon:haban_berry","onEat;onSourceModifyDamage",""
"hardstone","cobblemon:hard_stone","onBasePower",""
"healball","cobblemon:heal_ball","",""
"hearthflamemask","","onBasePower;onTakeItem",""
"heatrock","cobblemon:heat_rock","",""
"heavyball","cobblemon:heavy_ball","",""
"heavydutyboots","cobblemon:heavy_duty_boots","",""
"helixfossil","cobblemon:helix_fossil","",""
"heracronite","","onTakeItem","Mega"
"hondewberry","cobblemon:hondew_berry","",""
"houndoominite","","onTakeItem","Mega"
"iapapaberry","cobblemon:iapapa_berry","onEat;onTryEatItem;onUpdate",""
"icegem","cobblemon:ice_gem","onSourceTryPrimaryHit",""
"icememory","","onTakeItem",""
"icestone","cobblemon:ice_stone","",""
"icicleplate","","onBasePower;onTakeItem",""
"iciumz","","","Z"
"icyrock","cobblemon:icy_rock","",""
"inciniumz","","","Z"
"insectplate","","onBasePower;onTakeItem",""
"ironball","cobblemon:iron_ball","onEffectiveness;onModifySpe",""
"ironplate","","onBasePower;onTakeItem",""
"jabocaberry","cobblemon:jaboca_berry","onDamagingHit;onEat",""
"jawfossil","cobblemon:jaw_fossil","",""
"kasibberry","cobblemon:kasib_berry","onEat;onSourceModifyDamage",""
"kebiaberry","cobblemon:kebia_berry","onEat;onSourceModifyDamage",""
"keeberry","cobblemon:kee_berry","onAfterMoveSecondary;onEat",""
"kelpsyberry","cobblemon:kelpsy_berry","",""
"kangaskhanite","","onTakeItem","Mega"
"kingsrock","cobblemon:kings_rock","onModifyMove",""
"kommoniumz","","","Z"
"laggingtail","cobblemon:lagging_tail","",""
"lansatberry","cobblemon:lansat_berry","onEat;onUpdate",""
"latiasite","","onTakeItem","Mega"
"latiosite","","onTakeItem","Mega"
"laxincense","","onModifyAccuracy",""
"leafstone","cobblemon:leaf_stone","",""
"leek","","onModifyCritRatio",""
"leftovers","cobblemon:leftovers","onResidual",""
"leppaberry","cobblemon:leppa_berry","onEat;onUpdate",""
"levelball","cobblemon:level_ball","",""
"liechiberry","cobblemon:liechi_berry","onEat;onUpdate",""
"lifeorb","cobblemon:life_orb","onAfterMoveSecondarySelf;onModifyDamage",""
"lightball","cobblemon:light_ball","onModifyAtk;onModifySpA",""
"lightclay","cobblemon:light_clay","",""
"loadeddice","cobblemon:loaded_dice","onModifyMove",""
"lopunnite","","onTakeItem","Mega"
"loveball","cobblemon:love_ball","",""
"lovesweet","cobblemon:love_sweet","",""
"lucarionite","","onTakeItem","Mega"
"luckypunch","","onModifyCritRatio",""
"lumberry","cobblemon:lum_berry","onAfterSetStatus;onEat;onUpdate",""
"luminousmoss","cobblemon:luminous_moss","onDamagingHit",""
"lunaliumz","","","Z"
"lureball","cobblemon:lure_ball","",""
"lustrousglobe","","onBasePower;onTakeItem",""
"lustrousorb","","onBasePower",""
"luxuryball","cobblemon:luxury_ball","",""
"lycaniumz","","","Z"
"machobrace","","onModifySpe",""
"magmarizer","cobblemon:magmarizer","",""
"magnet","cobblemon:magnet","onBasePower",""
"magoberry","cobblemon:mago_berry","onEat;onTryEatItem;onUpdate",""
"magostberry","cobblemon:magost_berry","",""
"mail","","onTakeItem",""
"maliciousarmor","cobblemon:malicious_armor","",""
"manectite","","onTakeItem","Mega"
"marangaberry","cobblemon:maranga_berry","onAfterMoveSecondary;onEat",""
"marshadiumz","","","Z"
"masterball","cobblemon:master_ball","",""
"masterpieceteacup","cobblemon:masterpiece_teacup","",""
"mawilite","","onTakeItem","Mega"
"meadowplate","","onBasePower;onTakeItem",""
"medichamite","","onTakeItem","Mega"
"mentalherb","cobblemon:mental_herb","onUpdate",""
"metagrossite","","onTakeItem","Mega"
"metalalloy","cobblemon:metal_alloy","",""
"metalcoat","cobblemon:metal_coat","onBasePower",""
"metalpowder","cobblemon:metal_powder","onModifyDef",""
"metronome","cobblemon:metronome","onStart",""
"mewniumz","","","Z"
"mewtwonitex","","onTakeItem","Mega"
"mewtwonitey","","onTakeItem","Mega"
"micleberry","cobblemon:micle_berry","onEat;onResidual",""
"mimikiumz","","","Z"
"mindplate","","onBasePower;onTakeItem",""
"miracleseed","cobblemon:miracle_seed","onBasePower",""
"mirrorherb","cobblemon:mirror_herb","onFoeAfterBoost",""
"mistyseed","cobblemon:misty_seed","onStart;onTerrainChange",""
"moonball","cobblemon:moon_ball","",""
"moonstone","cobblemon:moon_stone","",""
"muscleband","cobblemon:muscle_band","onBasePower",""
"mysticwater","cobblemon:mystic_water","onBasePower",""
"nanabberry","cobblemon:nanab_berry","",""
"nestball","cobblemon:nest_ball","",""
"netball","cobblemon:net_ball","",""
"nevermeltice","cobblemon:never_melt_ice","onBasePower",""
"nomelberry","cobblemon:nomel_berry","",""
"normalgem","cobblemon:normal_gem","onSourceTryPrimaryHit",""
"normaliumz","","","Z"
"occaberry","cobblemon:occa_berry","onEat;onSourceModifyDamage",""
"oddincense","","onBasePower",""
"oldamber","","",""
"oranberry","cobblemon:oran_berry","onEat;onTryEatItem;onUpdate",""
"ovalstone","cobblemon:oval_stone","",""
"pamtreberry","cobblemon:pamtre_berry","",""
"parkball","cobblemon:park_ball","",""
"passhoberry","cobblemon:passho_berry","onEat;onSourceModifyDamage",""
"payapaberry","cobblemon:payapa_berry","onEat;onSourceModifyDamage",""
"pechaberry","cobblemon:pecha_berry","onEat;onUpdate",""
"persimberry","cobblemon:persim_berry","onEat;onUpdate",""
"petayaberry","cobblemon:petaya_berry","onEat;onUpdate",""
"pidgeotite","","onTakeItem","Mega"
"pikaniumz","","","Z"
"pikashuniumz","","","Z"
"pinapberry","cobblemon:pinap_berry","",""
"pinsirite","","onTakeItem","Mega"
"pixieplate","","onBasePower;onTakeItem",""
"plumefossil","cobblemon:plume_fossil","",""
"poisonbarb","cobblemon:poison_barb","onBasePower",""
"poisongem","cobblemon:poison_gem","onSourceTryPrimaryHit",""
"poisonmemory","","onTakeItem",""
"poisoniumz","","","Z"
"pokeball","cobblemon:poke_ball","",""
"pomegberry","cobblemon:pomeg_berry","",""
"poweranklet","cobblemon:power_anklet","onModifySpe",""
"powerband","cobblemon:power_band","onModifySpe",""
"powerbelt","cobblemon:power_belt","onModifySpe",""
"powerbracer","cobblemon:power_bracer","onModifySpe",""
"powerherb","cobblemon:power_herb","onChargeMove",""
"powerlens","cobblemon:power_lens","onModifySpe",""
"powerweight","cobblemon:power_weight","onModifySpe",""
"premierball","cobblemon:premier_ball","",""
"primariumz","","","Z"
"prismscale","cobblemon:prism_scale","",""
"protectivepads","cobblemon:protective_pads","",""
"protector","cobblemon:protector","",""
"psychicgem","cobblemon:psychic_gem","onSourceTryPrimaryHit",""
"psychicmemory","","onTakeItem",""
"psychicseed","cobblemon:psychic_seed","onStart;onTerrainChange",""
"psychiumz","","","Z"
"punchingglove","cobblemon:punching_glove","onBasePower;onModifyMove",""
"qualotberry","cobblemon:qualot_berry","",""
"quickball","cobblemon:quick_ball","",""
"quickclaw","cobblemon:quick_claw","onFractionalPriority",""
"quickpowder","cobblemon:quick_powder","onModifySpe",""
"rabutaberry","cobblemon:rabuta_berry","",""
"rarebone","","",""
"rawstberry","cobblemon:rawst_berry","onEat;onUpdate",""
"razorclaw","cobblemon:razor_claw","onModifyCritRatio",""
"razorfang","cobblemon:razor_fang","onModifyMove",""
"razzberry","cobblemon:razz_berry","",""
"reapercloth","cobblemon:reaper_cloth","",""
"redcard","cobblemon:red_card","onAfterMoveSecondary",""
"redorb","","onPrimal;onSwitchIn;onTakeItem",""
"repeatball","cobblemon:repeat_ball","",""
"ribbonsweet","cobblemon:ribbon_sweet","",""
"rindoberry","cobblemon:rindo_berry","onEat;onSourceModifyDamage",""
"ringtarget","cobblemon:ring_target","",""
"rockgem","cobblemon:rock_gem","onSourceTryPrimaryHit",""
"rockincense","","onBasePower",""
"rockmemory","","onTakeItem",""
"rockiumz","","","Z"
"rockyhelmet","cobblemon:rocky_helmet","onDamagingHit",""
"roomservice","cobblemon:room_service","onAnyPseudoWeatherChange;onStart",""
"rootfossil","cobblemon:root_fossil","",""
"roseincense","","onBasePower",""
"roseliberry","cobblemon:roseli_berry","onEat;onSourceModifyDamage",""
"rowapberry","cobblemon:rowap_berry","onDamagingHit;onEat",""
"rustedshield","","onTakeItem",""
"rustedsword","","onTakeItem",""
"sablenite","","onTakeItem","Mega"
"sachet","cobblemon:sachet","",""
"safariball","cobblemon:safari_ball","",""
"safetygoggles","cobblemon:safety_goggles","onImmunity;onTryHit",""
"sailfossil","cobblemon:sail_fossil","",""
"salacberry","cobblemon:salac_berry","onEat;onUpdate",""
"salamencite","","onTakeItem","Mega"
"sceptilite","","onTakeItem","Mega"
"scizorite","","onTakeItem","Mega"
"scopelens","cobblemon:scope_lens","onModifyCritRatio",""
"seaincense","","onBasePower",""
"sharpbeak","cobblemon:sharp_beak","onBasePower",""
"sharpedonite","","onTakeItem","Mega"
"shedshell","cobblemon:shed_shell","onTrapPokemon",""
"shellbell","cobblemon:shell_bell","onAfterMoveSecondarySelf",""
"shinystone","cobblemon:shiny_stone","",""
"shockdrive","","onTakeItem",""
"shucaberry","cobblemon:shuca_berry","onEat;onSourceModifyDamage",""
"silkscarf","cobblemon:silk_scarf","onBasePower",""
"silverpowder","cobblemon:silver_powder","onBasePower",""
"sitrusberry","cobblemon:sitrus_berry","onEat;onTryEatItem;onUpdate",""
"skullfossil","cobblemon:skull_fossil","",""
"skyplate","","onBasePower;onTakeItem",""
"slowbronite","","onTakeItem","Mega"
"smoothrock","cobblemon:smooth_rock","",""
"snorliumz","","","Z"
"snowball","","onDamagingHit",""
"softsand","cobblemon:soft_sand","onBasePower",""
"solganiumz","","","Z"
"souldew","","onBasePower",""
"spelltag","cobblemon:spell_tag","onBasePower",""
"spelonberry","cobblemon:spelon_berry","",""
"splashplate","","onBasePower;onTakeItem",""
"spookyplate","","onBasePower;onTakeItem",""
"sportball","cobblemon:sport_ball","",""
"starfberry","cobblemon:starf_berry","onEat;onUpdate",""
"starsweet","cobblemon:star_sweet","",""
"steelixite","","onTakeItem","Mega"
"steelgem","cobblemon:steel_gem","onSourceTryPrimaryHit",""
"steelmemory","","onTakeItem",""
"steeliumz","","","Z"
"stick","","onModifyCritRatio",""
"stickybarb","cobblemon:sticky_barb","onHit;onResidual",""
"stoneplate","","onBasePower;onTakeItem",""
"strangeball","","",""
"strawberrysweet","cobblemon:strawberry_sweet","",""
"sunstone","cobblemon:sun_stone","",""
"swampertite","","onTakeItem","Mega"
"sweetapple","cobblemon:sweet_apple","",""
"syrupyapple","cobblemon:syrupy_apple","",""
"tamatoberry","cobblemon:tamato_berry","",""
"tangaberry","cobblemon:tanga_berry","onEat;onSourceModifyDamage",""
"tapuniumz","","","Z"
"tartapple","cobblemon:tart_apple","",""
"terrainextender","cobblemon:terrain_extender","",""
"thickclub","","onModifyAtk",""
"throatspray","cobblemon:throat_spray","onAfterMoveSecondarySelf",""
"thunderstone","cobblemon:thunder_stone","",""
"timerball","cobblemon:timer_ball","",""
"toxicorb","cobblemon:toxic_orb","onResidual",""
"toxicplate","","onBasePower;onTakeItem",""
"tr00","","",""
"tr01","","",""
"tr02","","",""
"tr03","","",""
"tr04","","",""
"tr05","","",""
"tr06","","",""
"tr07","","",""
"tr08","","",""
"tr09","","",""
"tr10","","",""
"tr11","","",""
"tr12","","",""
"tr13","","",""
"tr14","","",""
"tr15","","",""
"tr16","","",""
"tr17","","",""
"tr18","","",""
"tr19","","",""
"tr20","","",""
"tr21","","",""
"tr22","","",""
"tr23","","",""
"tr24","","",""
"tr25","","",""
"tr26","","",""
"tr27","","",""
"tr28","","",""
"tr29","","",""
"tr30","","",""
"tr31","","",""
"tr32","","",""
"tr33","","",""
"tr34","","",""
"tr35","","",""
"tr36","","",""
"tr37","","",""
"tr38","","",""
"tr39","","",""
"tr40","","",""
"tr41","","",""
"tr42","","",""
"tr43","","",""
"tr44","","",""
"tr45","","",""
"tr46","","",""
"tr47","","",""
"tr48","","",""
"tr49","","",""
"tr50","","",""
"tr51","","",""
"tr52","","",""
"tr53","","",""
"tr54","","",""
"tr55","","",""
"tr56","","",""
"tr57","","",""
"tr58","","",""
"tr59","","",""
"tr60","","",""
"tr61","","",""
"tr62","","",""
"tr63","","",""
"tr64","","",""
"tr65","","",""
"tr66","","",""
"tr67","","",""
"tr68","","",""
"tr69","","",""
"tr70","","",""
"tr71","","",""
"tr72","","",""
"tr73","","",""
"tr74","","",""
"tr75","","",""
"tr76","","",""
"tr77","","",""
"tr78","","",""
"tr79","","",""
"tr80","","",""
"tr81","","",""
"tr82","","",""
"tr83","","",""
"tr84","","",""
"tr85","","",""
"tr86","","",""
"tr87","","",""
"tr88","","",""
"tr89","","",""
"tr90","","",""
"tr91","","",""
"tr92","","",""
"tr93","","",""
"tr94","","",""
"tr95","","",""
"tr96","","",""
"tr97","","",""
"tr98","","",""
"tr99","","",""
"twistedspoon","cobblemon:twisted_spoon","onBasePower",""
"tyranitarite","","onTakeItem","Mega"
"ultraball","cobblemon:ultra_ball","",""
"ultranecroziumz","","","Z"
"unremarkableteacup","cobblemon:unremarkable_teacup","",""
"upgrade","cobblemon:upgrade","",""
"utilityumbrella","cobblemon:utility_umbrella","onEnd;onStart;onUpdate",""
"venusaurite","","onTakeItem","Mega"
"wacanberry","cobblemon:wacan_berry","onEat;onSourceModifyDamage",""
"watergem","cobblemon:water_gem","onSourceTryPrimaryHit",""
"watermemory","","onTakeItem",""
"waterstone","cobblemon:water_stone","",""
"wateriumz","","","Z"
"watmelberry","cobblemon:watmel_berry","",""
"waveincense","","onBasePower",""
"weaknesspolicy","cobblemon:weakness_policy","onDamagingHit",""
"wellspringmask","","onBasePower;onTakeItem",""
"wepearberry","cobblemon:wepear_berry","",""
"whippeddream","cobblemon:whipped_dream","",""
"whiteherb","cobblemon:white_herb","onUpdate",""
"widelens","cobblemon:wide_lens","onSourceModifyAccuracy",""
"wikiberry","cobblemon:wiki_berry","onEat;onTryEatItem;onUpdate",""
"wiseglasses","cobblemon:wise_glasses","onBasePower",""
"yacheberry","cobblemon:yache_berry","onEat;onSourceModifyDamage",""
"zapplate","","onBasePower;onTakeItem",""
"zoomlens","cobblemon:zoom_lens","onSourceModifyAccuracy",""
"berserkgene","","onUpdate",""
"berry","","onEat;onResidual;onTryEatItem",""
"bitterberry","","onEat;onUpdate",""
"burntberry","","onEat;onUpdate",""
"goldberry","","onEat;onResidual;onTryEatItem",""
"iceberry","","onEat;onUpdate",""
"mintberry","","onEat;onUpdate",""
"miracleberry","","onEat;onUpdate",""
"mysteryberry","","onEat;onUpdate",""
"pinkbow","","onBasePower",""
"polkadotbow","","onBasePower",""
"przcureberry","","onEat;onUpdate",""
"psncureberry","","onEat;onUpdate",""
"crucibellite","","onTakeItem","Mega"
"vilevial","","onBasePower;onTakeItem",""
